,Medal,Beer Name,Brewery,City,State,Category,Year
183,Bronze,Pils,Hardywood West Creek,Richmond,VA,German-Style Pilsener,2019
184,Gold,Meier,Rowley Farmhouse Ales,Santa Fe,NM,German-Style Sour Ale,2019
185,Silver,Meersalz,Narrow Gauge Brewing Co.,Florissant,MO,German-Style Sour Ale,2019
186,Bronze,And the Award Gose to...,Big Dog's Brewing Co.,Las Vegas,NV,German-Style Sour Ale,2019
187,Gold,Krystal Clear,TAPS Brewery & Barrel Room,Tustin,CA,German-Style Wheat Ale,2019
188,Silver,Dunkelweisse,Swashbuckler Brewing Co.,Manheim,PA,German-Style Wheat Ale,2019
189,Bronze,HefeWeizen,Live Oak Brewing Co.,Austin,TX,German-Style Wheat Ale,2019
190,Gold,Boombastic Hazy IPA,Holidaily Brewing Co.,Golden,CO,Gluten-Free Beer,2019
191,Silver,Co-Conspirator Apricot Sour,Revelation Craft Brewing Co.,Rehoboth Beach,DE,Gluten-Free Beer,2019
192,Bronze,Grandpa's Nap,Evasion Brewing - Production Facility,McMinnville,OR,Gluten-Free Beer,2019
193,Gold,1956 Golden Ale,Bootstrap Brewing,Longmont,CO,Golden or Blonde Ale,2019
194,Silver,MadeWest Standard,MadeWest Brewing Co.,Ventura,CA,Golden or Blonde Ale,2019
195,Bronze,Luke's Original,Lucky Luke Brewing Co.,Palmdale,CA,Golden or Blonde Ale,2019
196,Gold,Kveik Thai Tom Kha,Shades Brewing,Park City,UT,Herb and Spice Beer,2019
197,Silver,One Night in Bangkok Smoothie IPA,Midland Brewing Co.,Midland,MI,Herb and Spice Beer,2019
198,Bronze,Deck Daze,Vail Brewing Co. - Vail Village Pilot,Vail,CO,Herb and Spice Beer,2019
199,Silver,Afterburner Smoked Lager,Four Day Ray Brewing,Fishers,IN,Historical Beer,2019
200,Bronze,Decorah Nordic Gruit,PIVO Brewery,Calmar,IA,Historical Beer,2019
201,Gold,A&M Honey Bock,BJ's Restaurant & Brewery - Boulder,Boulder,CO,Honey Beer,2019
202,Silver,Honey Hole,SpindleTap Brewery,Houston,TX,Honey Beer,2019
203,Bronze,Jetty,Great South Bay Brewery,Bay Shore,NY,Honey Beer,2019
204,Gold,Double Cone,Alvarado Street Brewery,Salinas,CA,Imperial India Pale Ale,2019
205,Silver,Westbound Double IPA,Westbound & Down Brewing Co.,Idaho Springs,CO,Imperial India Pale Ale,2019
206,Bronze,Sharrow,Brew Hub,Lakeland,FL,Imperial India Pale Ale,2019
207,Gold,Bone Head Imperial Red,Fat Head's Brewery & Saloon,North Olmsted,OH,Imperial Red Ale,2019
208,Silver,Frogs Like Possum,King's Court Brewing Co.,Poughkeepsie,NY,Imperial Red Ale,2019
209,Bronze,Gifted Gunslinger,Big Sexy Brewing Co.,Sacramento,CA,Imperial Red Ale,2019
210,Gold,The Russian,2SP Brewing Co.,Aston,PA,Imperial Stout,2019
211,Silver,Black Cauldron Imperial Stout,Grand Teton Brewing,Victor,ID,Imperial Stout,2019
212,Bronze,Rescue Buoy Imperial Stout,Rip Current Brewing,San Marcos,CA,Imperial Stout,2019
213,Gold,Timbo Pils,Highland Park Brewery - Chinatown,Los Angeles,CA,India Pale Lager or Malt Liquor,2019
214,Silver,Go Kart Mozart,MotoSonora Brewing Co.,Tucson,AZ,India Pale Lager or Malt Liquor,2019
215,Bronze,Yeah Buoy IPL,Logboat Brewing Co.,Columbia,MO,India Pale Lager or Malt Liquor,2019
216,Gold,Dark Horse,Snake River Brewing Co.,Jackson,WY,International-Style Dark Lager,2019
217,Silver,El Corn,The Post Brewing Co.,Lafayette,CO,International-Style Dark Lager,2019
218,Bronze,Schwarzbier,Hofbräuhaus Cleveland,Cleveland,OH,International-Style Dark Lager,2019
219,Gold,Torcido,Barebottle Brewing Co.,San Francisco,CA,International-Style Pilsener,2019
220,Silver,Upslope Craft Lager,Upslope Brewing Co. - Flatiron Park,Boulder,CO,International-Style Pilsener,2019
221,Bronze,Party,MAP Brewing Co.,Bozeman,MT,International-Style Pilsener,2019
222,Gold,Outraged Daughters,Wise Man Brewing,Winston-Salem,NC,Irish-Style Red Ale,2019
223,Silver,Balefire Irish Red,Mirror Image Brewing Co.,Frederick,CO,Irish-Style Red Ale,2019
224,Bronze,Red Molly Irish Red Ale,Pale Fire Brewing Co.,Harrisonburg,VA,Irish-Style Red Ale,2019
225,Gold,Extra Extra Juicy Bits,WeldWerks Brewing Co.,Greeley,CO,Juicy or Hazy Imperial India Pale Ale,2019
226,Silver,Juice Jockey,Phantom Ales,Anaheim,CA,Juicy or Hazy Imperial India Pale Ale,2019
227,Bronze,Chaos Emeralds,Lone Pine Brewing Company - Gorham,Gorham,ME,Juicy or Hazy Imperial India Pale Ale,2019
228,Gold,Beezer,Old Irving Brewing Co.,Chicago,IL,Juicy or Hazy India Pale Ale,2019
229,Silver,Hazy IPA,City Lights Brewing Co.,Milwaukee,WI,Juicy or Hazy India Pale Ale,2019
230,Bronze,Devil's Gulch,Pond Farm Brewing Co.,San Rafael,CA,Juicy or Hazy India Pale Ale,2019
231,Gold,Gulp,Tribus Beer Co.,Milford,CT,Juicy or Hazy Pale Ale,2019
232,Silver,Itsy Bits,WeldWerks Brewing Co.,Greeley,CO,Juicy or Hazy Pale Ale,2019
233,Bronze,Mo-Haze-Ic,Migration Brewing Co. - Wilkes,Portland,OR,Juicy or Hazy Pale Ale,2019
234,Gold,Breakside What Rough Beast,Breakside Brewery - NW Slabtown,Portland,OR,Juicy or Hazy Strong Pale Ale,2019
235,Silver,Kaaterskill,West Kill Brewing,West Kill,NY,Juicy or Hazy Strong Pale Ale,2019
236,Bronze,Goofy Boots,Penrose Brewing Co.,Geneva,IL,Juicy or Hazy Strong Pale Ale,2019
237,Gold,German Pilsner,Port City Brewing Co.,Alexandria,VA,Kellerbier or Zwickelbier,2019
238,Silver,Loral Zwickelbier,Haas Innovations Brewing,Yakima,WA,Kellerbier or Zwickelbier,2019
239,Bronze,Stand By,Rockwell Beer Co.,St. Louis,MO,Kellerbier or Zwickelbier,2019
240,Gold,Altitude Banquet,Altitude Chophouse and Brewery,Laramie,WY,Light Lager,2019
241,Silver,Sif's Light Lager,Odin Brewing Co.,Tukwila,WA,Light Lager,2019
242,Bronze,Lightner Creek Lager,Carver Brewing Co.,Durango,CO,Light Lager,2019
243,Gold,Standard Issue,Central Standard Brewing,Wichita,KS,Mixed-Culture Brett Beer,2019
244,Silver,Farmer's Reserve No. 5,Almanac Beer Co.,Alameda,CA,Mixed-Culture Brett Beer,2019
245,Bronze,Côte d'Or - Double Cerise,Rowley Farmhouse Ales,Santa Fe,NM,Mixed-Culture Brett Beer,2019
246,Gold,Altstadt Lager,Altstadt Brewery,Fredericksburg,TX,Munich-Style Helles,2019
247,Silver,Florida Sunshine,Crooked Can Brewing Co.,Winter Garden,FL,Munich-Style Helles,2019
248,Bronze,Wayfinder Hell,Wayfinder Beer,Portland,OR,Munich-Style Helles,2019
249,Gold,Enough Said N/A,Two Roots Brewing Co.,San Diego,CA,Non-Alcohol Beer or Alcohol-Free Beer,2019
250,Silver,Bravus Oatmeal Stout,Bravus Brewing Co.,Newport Beach,CA,Non-Alcohol Beer or Alcohol-Free Beer,2019
