,Medal,Beer Name,Brewery,City,State,Category,Year
4208,Bronze,Black Cherry Stout,Main Street Brewery,Las Vegas,NV,Garden Beer (Fruit & Vegetable),2003
4209,Gold,Otter Creek Copper Ale,Otter Creek Brewing/Wolaver's Organic Ales,Middlebury,VT,German-Style Brown Ale/Dusseldorf-Style,2003
4210,Silver,Ettinger Amber,Laurelwood Public House & Brewery,Portland,OR,German-Style Brown Ale/Dusseldorf-Style,2003
4211,Bronze,All the Way Alt,Desert Edge Brewery,Salt Lake City,UT,German-Style Brown Ale/Dusseldorf-Style,2003
4212,Gold,Sled Dog Trippelbock Reserve,Wagner Valley Brewing Co.,Lodi,NY,German-Style Doppelbock,2003
4213,Silver,Incinerator Doppelbock,Pumphouse Brewery & Restaurant,Longmont,CO,German-Style Doppelbock,2003
4214,Bronze,Broken Keg,Port Brewing Co. Pizza Port Carlsbad,Carlsbad,CA,German-Style Doppelbock,2003
4215,Gold,Oak Creek Hefeweizen,Oak Creek Brewing Co.,Sedona,AZ,German-Style Hefeweizen,2003
4216,Silver,In-Heat Wheat,Flying Dog Brewery,Denver,CO,German-Style Hefeweizen,2003
4217,Bronze,Sweet Spot Hefe,Oggi's Pizza & Brewing Co.,San Diego,CA,German-Style Hefeweizen,2003
4218,Gold,Atomic Blonde,Blue Corn Café & Brewery,Albuquerque,NM,German-Style Kölsch/Köln-Style Kölsch,2003
4219,Silver,Bendsch,Deschutes Brewery,Bend,OR,German-Style Kölsch/Köln-Style Kölsch,2003
4220,Bronze,Lighthouse Ale,Oyster Bar Bistro & Brewery (The),Fort Wayne,IN,German-Style Kölsch/Köln-Style Kölsch,2003
4221,Gold,Oktoberfest,Great Dane Pub & Brewing Co. (The),Madison,WI,German-Style Märzen/Oktoberfest,2003
4222,Bronze,Stewart's Oktoberfest,Stewart's Brewing Co.,Bear,DE,German-Style Märzen/Oktoberfest,2003
4223,Gold,Pinch Hit Pilsner,Sandlot Brewery at Coors Field,Denver,CO,German-Style Pilsener,2003
4224,Silver,RedRock Pilsner,Redrock Brewing Co.,Salt Lake City,UT,German-Style Pilsener,2003
4225,Bronze,Pikeland - Pils,Sly Fox Brewhouse & Eatery,Phoenixville,PA,German-Style Pilsener,2003
4226,Bronze,Black Forest Schwarzbier,Squatters Pub Brewery,Salt Lake City,UT,German-Style Schwarzbier,2003
4227,Gold,Dunkel Weizen,Unlikely Cowboy Restaurant & Brewery (The),Scottsdale,AZ,German-Style Wheat Ale,2003
4228,Silver,Berliner Weisse,Nodding Heading Brewing Co.,Philadelphia,PA,German-Style Wheat Ale,2003
4229,Bronze,John Jacob Jingleheimer Schmidt Dunkeldoppelhefe,Great Dane Pub & Brewing Co. (The),Madison,WI,German-Style Wheat Ale,2003
4230,Gold,"Widmer Blonde Ale,",Widmer Brothers Brewing Co.,Portland,OR,Golden or Blonde Ale,2003
4231,Silver,Redhook Blonde,Redhook Ale Brewery,Woodinville,WA,Golden or Blonde Ale,2003
4232,Bronze,Mother Lode Golden,Laurelwood Public House & Brewery,Portland,OR,Golden or Blonde Ale,2003
4233,Gold,Camomellow,Issaquah Brewhouse,Issaquah,WA,Herb and Spice Beer,2003
4234,Silver,Heather Ale,Amherst Brewing Co.,Amherst,MA,Herb and Spice Beer,2003
4235,Bronze,Cinco de Mayo Jalapeno Lager,Rock Bottom Breweries,Braintree,MA,Herb and Spice Beer,2003
4236,Gold,Frank Double I.P.A,Port Brewing Co. Pizza Port Carlsbad,Carlsbad,CA,Imperial or Double India Pale Ale,2003
4237,Silver,Hop 15,Pizza Port - Solana Beach,Solana Beach,CA,Imperial or Double India Pale Ale,2003
4238,Bronze,Imperor IPA,BJ's Restaurant & Brewery - Chandler,Chandler,AZ,Imperial or Double India Pale Ale,2003
4239,Gold,Russian Imperial Stout,Iron Hill Brewery & Restaurant - Newark,Newark,DE,Imperial Stout,2003
4240,Silver,Backdraft Imperial Stout,Pumphouse Brewery & Restaurant,Longmont,CO,Imperial Stout,2003
4241,Bronze,Siberian Night,Thirsty Dog Brewing Co.,Akron,OH,Imperial Stout,2003
4242,Gold,Thoroughbred Red,Aiken Brewing Co.,Aiken,SC,Irish-Style Red Ale,2003
4243,Silver,St. James Irish Red,Walnut Brewery,Boulder,CO,Irish-Style Red Ale,2003
4244,Bronze,Lumberjack Red Ale,Rock Bottom Brewery - Bellevue,Bellevue,WA,Irish-Style Red Ale,2003
4245,Gold,Augsburger Golden,Stevens Point Brewery,Stevens Point,WI,Munchner-Style Helles,2003
4246,Silver,Saint Arnold Summer Pils,Saint Arnold Brewing Co.,Houston,TX,Munchner-Style Helles,2003
4247,Bronze,Helles of a Play,Sandlot Brewery at Coors Field,Denver,CO,Munchner-Style Helles,2003
4248,Gold,O'Doul’s,"Anheuser-Busch, Inc",Saint Louis,MO,Non-Alcoholic (Beer) Malt Beverage,2003
4249,Silver,O'Doul’s Amber,"Anheuser-Busch, Inc",Saint Louis,MO,Non-Alcoholic (Beer) Malt Beverage,2003
4250,Gold,Stewart's Barleywine,Stewart's Brewing Co.,Bear,DE,Old Ale/Strong Ale,2003
4251,Silver,Hibernation Ale,Great Divide Brewing Co.,Denver,CO,Old Ale/Strong Ale,2003
4252,Bronze,Old Stock Ale,North Coast Brewing Co. Inc,Ft. Bragg,CA,Old Ale/Strong Ale,2003
4253,Gold,Old Sol,Big Time Brewing Co.,Seattle,WA,Other Strong Ale or Lager,2003
4254,Silver,Full Sail Capsize,Full Sail Brewing Co.,Hood River,OR,Other Strong Ale or Lager,2003
4255,Bronze,Summit Oktoberfest,Summit Brewing Co.,Saint Paul,MN,Other Strong Ale or Lager,2003
4256,Gold,1535 Pearl Street Porter,Mountain Sun Pub and Brewery,Boulder,CO,Robust Porter,2003
4257,Silver,Perseus Porter,Elysian Brewing Co.,Seattle,WA,Robust Porter,2003
4258,Bronze,Black Marlin Porter,Ballast Point Brewing Co.,San Diego,CA,Robust Porter,2003
4259,Gold,Right On Rye,Rock Bottom Breweries,Bethesda,MD,Rye Beer,2003
4260,Silver,Tailwind Rye,Blind Tiger Brewery & Restaurant,Topeka,KS,Rye Beer,2003
4261,Bronze,Rocky Mountain Rye,Smuggler's Brewpub,Telluride,CO,Rye Beer,2003
4262,Gold,Pete's Wicked Ale,Pete's Brewing Co.,San Antonio,TX,Scottish-Style Ale,2003
4263,Silver,60 Shilling,Nodding Heading Brewing Co.,Philadelphia,PA,Scottish-Style Ale,2003
4264,Bronze,Kiltlifter,Four Peaks Brewing Co.,Tempe,AZ,Scottish-Style Ale,2003
4265,Gold,Black Silk,Bluegrass Brewing Co.,Louisville,KY,Smoke-Flavored Beer,2003
4266,Silver,DeGroen's Rauchbock,Baltimore Brewing Co.,Baltimore,MD,Smoke-Flavored Beer,2003
4267,Bronze,Alaskan Smoked Porter,Alaskan Brewing and Bottling Co.,Juneau,AK,Smoke-Flavored Beer,2003
4268,Gold,California Crisp,Thirsty Dog Brewing Co.,Akron,OH,Specialty Beer,2003
4269,Silver,Ginger Shandy,McCoy's Public House,Kansas City,MO,Specialty Beer,2003
4270,Bronze,Maplenut Brown Ale,Tommyknocker Brewery,Idaho Springs,CO,Specialty Beer,2003
4271,Gold,Honey Act Your Sage,Flossmoor Station Brewing Co.,Flossmoor,IL,Specialty Honey Beer,2003
4272,Silver,Michelob Honey Lager,"Anheuser-Busch, Inc",Saint Louis,MO,Specialty Honey Beer,2003
4273,Bronze,Mandarin Nectar,Alpine Beer Co.,Alpine,CA,Specialty Honey Beer,2003
4274,Gold,Fat Bastard,Silver City Brewing Co.,Silverdale,WA,Strong Scotch Ale,2003
4275,Silver,Lion Slayer,RAM International/Big Horn Brewing,Lakewood,WA,Strong Scotch Ale,2003
4276,Bronze,Loyal Duke Scotch Ale,"Amicas Pizza, Microbrews and More",Salida,CO,Strong Scotch Ale,2003
4277,Gold,Snake River Lager,Snake River Brewing Co.,Jackson,WY,Vienna-Style Lager,2003
4278,Silver,Dos Rios,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Vienna-Style Lager,2003
4279,Bronze,Schild Brau Amber,Millstream Brewing Co.,Amana,IA,Vienna-Style Lager,2003
4280,Gold,Red Line Imperial Bourbon Stout,Rock Bottom Brewery - Chicago,Chicago,IL,Wood-and Barrel-Aged Beer,2003
4281,Silver,Enigma,New Glarus Brewing Co.,New Glarus,WI,Wood-and Barrel-Aged Beer,2003
4282,Bronze,Cherry Beer,New Glarus Brewing Co.,New Glarus,WI,Wood-and Barrel-Aged Beer,2003
4283,Gold,Crooked River ESB,Frederick Brewing Co.,Frederick,MD,(Extra Special) Strong Bitter,2002
4284,Silver,Best Bitter,Boundary Bay Brewery,Bellingham,WA,(Extra Special) Strong Bitter,2002
4285,Bronze,Sweetwater Tavern Pale Ale,Sweetwater Tavern & Brewery,Centreville,VA,(Extra Special) Strong Bitter,2002
4286,Gold,Henry Saxer Dark Lager,Portland Brewing Co.,Portland,OR,American Dark Lager,2002
4287,Silver,Leinenkugel's Creamy Dark,Jacob Leinenkugel Brewing Co.,Chippewa Falls,WI,American Dark Lager,2002
4288,Bronze,Shiner Bock,Spoetzl Brewery (The),San Antonio,TX,American Dark Lager,2002
4289,Gold,Hoptown Paint the Town Red,Hoptown Brewing Co.,Pleasanton,CA,American-Style Amber / Red Ale,2002
4290,Silver,Ruedrich's Red Seal Ale,North Coast Brewing Co. Inc,Ft. Bragg,CA,American-Style Amber / Red Ale,2002
4291,Bronze,Amber Waves Ale,Capitol City Brewing Co.,Washington,DC,American-Style Amber / Red Ale,2002
4292,Gold,Über Brau,Big Horn Brewing Co.,Lakewood,WA,American-Style Amber Lager,2002
4293,Silver,Wilhelm Sebald's Oktoberfest Bier,Spanish Springs Brewing,The Villages,FL,American-Style Amber Lager,2002
4294,Bronze,August Schell Firebrick,August Schell Brewing Co.,New Ulm,NM,American-Style Amber Lager,2002
4295,Gold,Kick-Ass Brown,C.H. Evans Brewing Co. at the Albany Pump Station,Albany,NY,American-Style Brown Ale,2002
4296,Silver,Bailey's American Brown,Hub City Brewery,Lubbock,TX,American-Style Brown Ale,2002
4297,Bronze,Slow Down Brown,Il Vicino Brewing Co.,Albuquerque,NM,American-Style Brown Ale,2002
4298,Gold,Drake's IPA,Drakes Brewing Co.,San Leandro,CA,American-Style India Pale Ale,2002
4299,Silver,Ponderosa IPA,Prescott Brewing Co.,Prescott,AZ,American-Style India Pale Ale,2002
4300,Bronze,Scarlet Fire,Big Time Brewing Co.,Seattle,WA,American-Style India Pale Ale,2002
4301,Gold,Busch,"Anheuser-Busch, Inc",Fort Collins,CO,American-Style Lager,2002
4302,Silver,Budweiser,"Anheuser-Busch, Inc",Fort Collins,CO,American-Style Lager,2002
4303,Bronze,Old Style,Heileman Brewing Co.,San Antonio,TX,American-Style Lager,2002
4304,Gold,Red Dog,Plank Road Brewery,Milwaukee,WI,American-Style Lager/Ale or Cream,2002
4305,Silver,Hamm's,Hamm's Brewing Co.,Milwaukee,WI,American-Style Lager/Ale or Cream,2002
4306,Bronze,Genesee Cream Ale,High Falls Brewing Co.,Rochester,NY,American-Style Lager/Ale or Cream,2002
4307,Gold,Lone Star Light,Lone Star Brewing Co.,San Antonio,TX,American-Style Light Lager,2002
4308,Silver,Schaefer Light,Schaefer Brewing Co.,San Antonio,TX,American-Style Light Lager,2002
4309,Bronze,Rainier Light,Rainier Brewing Co. Inc,San Antonio,TX,American-Style Light Lager,2002
4310,Gold,Rye Pale Ale,Terrapin Beer Co.,Athens,GA,American-Style Pale Ale,2002
4311,Silver,Piranha Pale Ale,BJ's Restaurant & Brewery,Portland,OR,American-Style Pale Ale,2002
4312,Bronze,IPA,SLO Brewing Co.,San Luis Obispo,CA,American-Style Pale Ale,2002
4313,Gold,Schlitz Malt Liquor,Schlitz Brewing Co.,San Antonio,TX,American-Style Premium Lager,2002
4314,Silver,Monterey Lager,Spanish Peaks Brewing Co.,King City,CA,American-Style Premium Lager,2002
4315,Bronze,Coors Original,Coors Brewing Co.,Golden,CO,American-Style Premium Lager,2002
4316,Gold,Schmidt's Ice,Rainier Brewing Co. Inc,San Antonio,TX,American-Style Specialty Lager,2002
4317,Silver,Red Bull,Schlitz Brewing Co.,San Antonio,TX,American-Style Specialty Lager,2002
4318,Bronze,St. Ides Malt Liquor,St. Ides Brewing Co.,San Antonio,TX,American-Style Specialty Lager,2002
4319,Gold,Raw Wheat,Blind Tiger Brewery & Restaurant,Topeka,KS,American-Style Wheat Beer,2002
4320,Silver,Desert Wheat,P.H. Woods Restaurant & Brewery,Moreno Valley,CA,American-Style Wheat Beer,2002
4321,Bronze,Shiner Winter Ale,Spoetzl Brewery (The),San Antonio,TX,American-Style Wheat Beer,2002
4322,Gold,Auld Gnarley Head Barleywine,Wild Duck Brewery & Restaurant,Eugene,OR,Barley Wine-Style Ale,2002
4323,Silver,Old Bounder,Boundary Bay Brewery,Bellingham,WA,Barley Wine-Style Ale,2002
4324,Bronze,Old Herb Barleywine,Southampton Publick House,Southampton,NY,Barley Wine-Style Ale,2002
4325,Gold,Allagash White,Allagash Brewing Co.,Portland,ME,Belgian- & French-Style Ale,2002
4326,Silver,Artisan Saison,Rocky River Brewing Co.,Rocky River,OH,Belgian- & French-Style Ale,2002
4327,Bronze,Spring Saison,Engine House #9 Restaurant & Brewery,Tacoma,WA,Belgian- & French-Style Ale,2002
4328,Gold,Double 02 Bear,Big Bear Brewing Co.,Coral Springs,FL,Belgian-Style Abbey Ale,2002
4329,Silver,Daisy Chain,Chicago Brewing Co.,Las Vegas,NV,Belgian-Style Abbey Ale,2002
4330,Bronze,Tripel,Iron Hill Brewery & Restaurant,West Chester,PA,Belgian-Style Abbey Ale,2002
4331,Gold,La Folie,New Belgium Brewing Co.,Fort Collins,CO,Belgian-Style Sour Ale,2002
4332,Silver,Lip Burner Lamb-Beak,Bitter End Bistro & Brewery,Austin,TX,Belgian-Style Sour Ale,2002
4333,Bronze,Flanders Red Ale,Southampton Publick House,Southampton,NY,Belgian-Style Sour Ale,2002
4334,Gold,Temptation,Russian River Brewing Co.,Guerneville,CA,Belgian-Style Strong Specialty Ales,2002
4335,Silver,Millenium Grand Cru,BJ's Restaurant & Brewery,Portland,OR,Belgian-Style Strong Specialty Ales,2002
4336,Bronze,Trouble,Rock Bottom Breweries,Bethesda,MD,Belgian-Style Strong Specialty Ales,2002
4337,Gold,Full Suspension Pale Ale,Utah Brewers Cooperative,Salt Lake City,UT,Bitter,2002
4338,Silver,8th Street Ale,Four Peaks Brewing Co.,Tempe,AZ,Bitter,2002
4339,Bronze,Blue Heron Pale Ale,BridgePort Brewing Co.,Portland,OR,Bitter,2002
4340,Gold,Saxer Bock,Portland Brewing Co.,Portland,OR,Bock,2002
4341,Silver,Get Off My Bock,Blue Corn Café & Brewery,Albuquerque,NM,Bock,2002
4342,Bronze,Mactavish's Excellent Barvarian Adventure,Sandlot Brewery at Coors Field,Denver,CO,Bock,2002
4343,Gold,Cleveland Chophouse Bohemian Pilsener,ChopHouse and Brewery-Cleveland,Cleveland,OH,Bohemian Style Pilsener,2002
4344,Silver,Barmen Pilsener,Sandlot Brewery at Coors Field,Denver,CO,Bohemian Style Pilsener,2002
4345,Bronze,BoHo Pilsner,Nodding Heading Brewing Co.,Philadelphia,PA,Bohemian Style Pilsener,2002
4346,Gold,Sweetwater Exodus Porter,Sweetwater Brewing Co.,Atlanta,GA,Brown Porter,2002
4347,Silver,Pioneer Porter,Fredericksburg Brewing Co.,Fredericksburg,TX,Brown Porter,2002
4348,Bronze,Black Butte Porter,Deschutes Brewery,Bend,OR,Brown Porter,2002
4349,Gold,Annadel Pale Ale,Third Street AleWorks,Santa Rosa,CA,Classic English Style Pale Ale,2002
4350,Silver,Urban Wilderness,Sleeping Lady Brewing Co/Snow Goose Restaurant,Anchorage,AK,Classic English Style Pale Ale,2002
4351,Bronze,Denver Pale Ale,Great Divide Brewing Co.,Denver,CO,Classic English Style Pale Ale,2002
4352,Gold,Blarney Sister's Dry Irish Stout,Third Street AleWorks,Santa Rosa,CA,Classic Irish-Style Dry Stout,2002
4353,Silver,McDoogin's Irish Stout,Thirsty Dog Grille and Brewery,Akron/Canton,OH,Classic Irish-Style Dry Stout,2002
4354,Bronze,Lord Stanley,Steelhead Brewing Co.,Irvine,CA,Classic Irish-Style Dry Stout,2002
4355,Gold,Maxwell's Dry Stout,Basil Ts Brewpub & Italian Grill,Red Bank,NJ,Coffee Flavored Beer,2002
4356,Silver,Cambridge Espresso Stout,John Harvard’s Brew House,Cambridge,MA,Coffee Flavored Beer,2002
4357,Bronze,Jamaican Blue Porter,Big Rock Chop & Brew House,Birmingham,MI,Coffee Flavored Beer,2002
4358,Gold,Grog,Nodding Heading Brewing Co.,Philadelphia,PA,English-Style Brown Ale,2002
4359,Silver,Old Elk Brown Ale,Walnut Brewery,Boulder,CO,English-Style Brown Ale,2002
4360,Bronze,Buster Nut Brown,Ska Brewing Co.,Durango,CO,English-Style Brown Ale,2002
4361,Gold,IPA,Firestone Walker Brewing Co.,Paso Robles,CA,English-Style India Pale Ale,2002
4362,Silver,SLO Progress,SLO Brewing Co.,San Luis Obispo,CA,English-Style India Pale Ale,2002
4363,Bronze,Newcomb's IPA,McCoys Public House & BrewKitchen,Kansas City,MO,English-Style India Pale Ale,2002
4364,Gold,Voodoo's Child,Red Star Brewery & Grille,Greensburg,PA,European-Style Dark / Munchner Dunkel,2002
4365,Silver,Dunkel,Moosejaw Pizza and Brewing,Wisconsin Dells,WI,European-Style Dark / Munchner Dunkel,2002
4366,Bronze,Obscura,Mammoth Brewing,Mammoth,CA,European-Style Dark / Munchner Dunkel,2002
4367,Gold,Tenaya Creek Pilsner,Tenaya Creek,Las Vegas,NV,European-Style Pilsener,2002
4368,Silver,Hermanbraü,Sandlot Brewery at Coors Field,Denver,CO,European-Style Pilsener,2002
4369,Bronze,Henry Weinhard's Private Reserve,Henry Weinhard's Brewing,Milwaukee,WI,European-Style Pilsener,2002
4370,Gold,Berliner Weisse,Southampton Publick House,Southampton,NY,Experimental Beer,2002
4371,Silver,Juniper Rye,BJ's Restaurant & Brewery,Chandler,AZ,Experimental Beer,2002
4372,Bronze,Raspberry Tart,New Glarus Brewing Co.,New Glarus,WI,Experimental Beer,2002
4373,Gold,Black Hole XXX Stout,Chelsea Brewing Co.,New York,NY,Foreign Style Stout,2002
4374,Silver,Zonker Stout,Snake River Brewing Co.,Jackson,WY,Foreign Style Stout,2002
4375,Bronze,Gaston's Swollen Delta Stout,Redfish New Orleans Brewhouse,Boulder,CO,Foreign Style Stout,2002
4376,Gold,Magnolia's Peach,BJ's Restaurant & Brewery,Boulder,CO,Fruit And Vegetable Beer,2002
4377,Silver,Belgian Red,New Glarus Brewing Co.,New Glarus,WI,Fruit And Vegetable Beer,2002
4378,Bronze,Little Pookie's Old Ale,Steelhead Brewing Co.,Eugene,OR,Fruit And Vegetable Beer,2002
4379,Gold,Widmer Alt,Widmer Brothers Brewing Co.,Portland,OR,German-Style Brown Ale,2002
4380,Silver,Old Town Brown,Chicago Brewing Co.,Las Vegas,NV,German-Style Brown Ale,2002
4381,Bronze,Southampton Secret Ale,Southampton Publick House,Southampton,NY,German-Style Brown Ale,2002
4382,Gold,Samuel Adams Double Bock,Samuel Adams Brewing Co.,Boston,MA,German-Style Doppelbock,2002
4383,Silver,Liberator Doppelbock,Angelic Brewing Co.,Madison,WI,German-Style Doppelbock,2002
4384,Bronze,Broken Keg Icebock,Pizza Port - Carlsbad,Carlsbad,CA,German-Style Doppelbock,2002
4385,Gold,Capitol Kolsch,Capitol City Brewing Co.,Washington,DC,German-Style Kolsch / Koln-Style Kolsch,2002
4386,Silver,# 10 Kolsch,Wolf Pack Brewing Co.,West Yellowstone,MT,German-Style Kolsch / Koln-Style Kolsch,2002
4387,Bronze,Golden Arm,Piece Brewery,Chicago,IL,German-Style Kolsch / Koln-Style Kolsch,2002
4388,Gold,Octoberfest,Empire Brewing Co.,Rochester,NY,German-Style Märzen/Oktoberfest,2002
4389,Silver,Trout Brook Octoberfest Lager,Trout Brook Brewing Co.,Hartford,CT,German-Style Märzen/Oktoberfest,2002
4390,Bronze,Great Dane Oktoberfest,Great Dane Pub & Brewing Co. (The),Madison,WI,German-Style Märzen/Oktoberfest,2002
4391,Gold,Hops Pilsener,"Hops Restaurant, Bar and Brewery",Tampa,FL,German-Style Pilsener,2002
4392,Silver,Goose Island Pils,Goose Island Beer Co.,Chicago,IL,German-Style Pilsener,2002
4393,Gold,Schwarzbier,Empire Brewing Co.,Syracuse,NY,German-Style Schwarzbier,2002
4394,Silver,Black Forest Schwarzbier,Squatters Pub Brewery,Salt Lake City,UT,German-Style Schwarzbier,2002
4395,Bronze,Springfield Schwarzbier,John Harvard’s Brew House,Springfield,PA,German-Style Schwarzbier,2002
4396,Gold,DeGroen's Weizen,Baltimore Brewing Co.,Baltimore,MD,German-Style Wheat Ale,2002
4397,Silver,Barley's Boulder Gold Hefeweizen,Barley's Casino & Brewing Co.,Henderson,NV,German-Style Wheat Ale,2002
4398,Bronze,Penn Weizen,Pennsylvania Brewing Co.,Pittsburgh,PA,German-Style Wheat Ale,2002
4399,Gold,Goose Island Summertime,Goose Island Beer Co.,Chicago,IL,Golden or Blonde Ale,2002
4400,Silver,Sweetwater 420 Extra Pale Ale,Sweetwater Brewing Co.,Atlanta,GA,Golden or Blonde Ale,2002
4401,Bronze,Alaskan Pale,Alaskan Brewing and Bottling Co.,Juneau,AK,Golden or Blonde Ale,2002
4402,Gold,Upland Wheat Ale,Upland Brewing Co.,Bloomington,IN,Herb and Spice Beer,2002
4403,Silver,Mocha Joe,Sports City Café & Brewery,La Jolla,CA,Herb and Spice Beer,2002
4404,Bronze,Lemongrass Wheat,Outer Banks Brewing Co.,Kill Devil Hills,NC,Herb and Spice Beer,2002
4405,Gold,Old Rasputin,North Coast Brewing Co. Inc,Ft. Bragg,CA,Imperial Stout,2002
4406,Silver,Raven Maniac Stout,Prescott Brewing Co.,Prescott,AZ,Imperial Stout,2002
4407,Bronze,No Disput'n Putin Russian Imperial Stout,Michigan Brewing Co.,Webberville,MI,Imperial Stout,2002
4408,Gold,Henry Weinhard's Amber Ale,Henry Weinhard's Brewing,Milwaukee,WI,Irish-Style Red Ale,2002
4409,Silver,Lumberjack Red Ale,Rock Bottom Breweries,Bellevue,WA,Irish-Style Red Ale,2002
4410,Bronze,Irish Red,Hub City Brewery,Lubbock,TX,Irish-Style Red Ale,2002
4411,Gold,Helles in a Handbasket,Hub City Brewery,Lubbock,TX,Munchner-Style Helles,2002
4412,Silver,Helles Lager,Firestone Walker Brewing Co.,Paso Robles,CA,Munchner-Style Helles,2002
4413,Bronze,French Creek Helles,Sly Fox Brewhouse & Eatery,Phoenixville,PA,Munchner-Style Helles,2002
4414,Gold,O'Doul's Amber,"Anheuser-Busch, Inc",Fort Collins,CO,Non-Alcoholic (Beer) Malt Beverage,2002
4415,Silver,Old Milwaukee NA,Stroh Brewery Co. (The),San Antonio,TX,Non-Alcoholic (Beer) Malt Beverage,2002
4416,Gold,Sinner's Stout,Angelic Brewing Co.,Madison,WI,Oatmeal Stout,2002
4417,Silver,Black Seal Stout,Rock Bottom Breweries,Long Beach,CA,Oatmeal Stout,2002
4418,Bronze,Wild Goose Oatmeal Stout,Frederick Brewing Co.,Frederick,MD,Oatmeal Stout,2002
4419,Gold,Merry Prankster,Rock Bottom Breweries,Portland,OR,Old Ale / Strong Ale,2002
4420,Silver,Celebration Brown,Island Brewing Co.,Carpenteria,CA,Old Ale / Strong Ale,2002
4421,Bronze,Cabin Fever,Boundary Bay Brewery,Bellingham,WA,Old Ale / Strong Ale,2002
4422,Gold,Decade,Big Time Brewing Co.,Seattle,WA,Other Strong Ale or Lager,2002
4423,Silver,Dragonstooth Stout,Elysian Brewing Co.,Seattle,WA,Other Strong Ale or Lager,2002
4424,Bronze,Hopasaurus Rex,Steelhead Brewing Co.,Eugene,OR,Other Strong Ale or Lager,2002
4425,Gold,Edmund Fitzgerald Porter,Great Lakes Brewing Co/Ohio,Cleveland,OH,Robust Porter,2002
4426,Silver,Cutthroat Porter,Odell Brewing Co.,Fort Collins,CO,Robust Porter,2002
4427,Bronze,Pig Iron Porter,Iron Hill Brewery & Restaurant,Media,PA,Robust Porter,2002
4428,Gold,Rock Chuck Rye,Snake River Brewing of Lander,Lander,WI,Rye Beer,2002
4429,Silver,Tailwind Rye,Blind Tiger Brewery & Restaurant,Topeka,KS,Rye Beer,2002
4430,Bronze,Catcher in the Rye,Rock Bottom Breweries,Arlington,VA,Rye Beer,2002
4431,Gold,McAllister's Ale,Smiling Moose Brewpub & Grill,Greeley,CO,Scottish-Style Ale,2002
4432,Silver,Laughing Lab Scottish Ale,Bristol Brewing Co.,Colorado Springs,CO,Scottish-Style Ale,2002
4433,Bronze,Hope & King Scotch Ale,Minneapolis Town Hall Brewery,Minneapolis,MN,Scottish-Style Ale,2002
4434,Gold,BJ's Rauchbier,BJ's Restaurant & Brewery,Portland,OR,Smoke-Flavored Beer,2002
4435,Silver,Pelican Smoked Porter,Redfish New Orleans Brewhouse,Boulder,CO,Smoke-Flavored Beer,2002
4436,Bronze,Alaskan Smoked Porter,Alaskan Brewing and Bottling Co.,Juneau,AK,Smoke-Flavored Beer,2002
4437,Gold,Ashman's Abbaye Dubbel,Flossmoor Station Brewing Co.,Flossmoor,IL,Specialty Beer,2002
4438,Silver,Ginger Shandy,McCoys Public House & BrewKitchen,Kansas City,MO,Specialty Beer,2002
4439,Bronze,Maplenut Brown Ale,Tommyknocker Brewery,Idaho Springs,CO,Specialty Beer,2002
4440,Gold,Star Spangled Ale,"Hops Restaurant, Bar and Brewery",Tampa,FL,Specialty Honey Beer,2002
4441,Silver,Honey Blonde,SLO Brewing Co.,Paso Robles,CA,Specialty Honey Beer,2002
4442,Bronze,Ray's Honey Rye,Boscos Brewing Co.,Memphis,TN,Specialty Honey Beer,2002
4443,Gold,Fat Bastard,Silver City Brewing Co.,Silverdale,WA,Strong Scotch Ale,2002
4444,Silver,Prescott's Wee Heavy,Bitter End Bistro & Brewery,Austin,TX,Strong Scotch Ale,2002
4445,Bronze,Wee Heavy Ale,Capitol City Brewing Co.,Arlington,VA,Strong Scotch Ale,2002
4446,Gold,Collaborator Milk Stout,Widmer Brothers Brewing Co.,Portland,OR,Sweet Stout,2002
4447,Silver,Cream Stout,Redrock Brewing Co.,Flint,MI,Sweet Stout,2002
4448,Bronze,Subjugator Stout,P.H. Woods Restaurant & Brewery,Moreno Valley,CA,Sweet Stout,2002
4449,Gold,Dos Czechies,Hub City Brewery,Lubbock,TX,Vienna-Style Lager,2002
4450,Silver,Dos Rios,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Vienna-Style Lager,2002
4451,Bronze,Dockside Amber Lager,Wagner Brewing Co.,Lodi,NY,Vienna-Style Lager,2002
4452,Gold,Terminal Bourbon Stout,Rock Bottom Breweries,Chicago,IL,Wood- and Barrel-Aged Beer,2002
4453,Silver,Dragon's Milk,New Holland Brewing Co.,Holland,MI,Wood- and Barrel-Aged Beer,2002
4454,Bronze,Old Conundrum Barley Wine,Flossmoor Station Brewing Co.,Flossmoor,IL,Wood- and Barrel-Aged Beer,2002
4455,Gold,Bachelor ESB,Deschutes Brewery,Bend,OR,(Extra Special) Strong Bitter,2001
4456,Silver,The Tower ESB,Bull and Bush Pub and Brewery,Denver,CO,(Extra Special) Strong Bitter,2001
4457,Bronze,Alaskan ESB,Alaskan Brewing and Bottling Co.,Juneau,AK,(Extra Special) Strong Bitter,2001
4458,Gold,Calico Copper Ale,Ballast Point Brewing Co.,San Diego,CA,American-Style Amber / Red Ale,2001
4459,Silver,Hoppus Maximus,Thirsty Dog Grille and Brewery,N. Canton,OH,American-Style Amber / Red Ale,2001
